,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType
778,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190622_003000.WAV,GRABADOR-SDZG-AM-1,20190622_003000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,22.06.2019 00:30,60.00046875,,Recorded at 00:30:00 22/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:37:29-08:00,WAV,WAV,audio/x-wav
64,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190617_013000.WAV,GRABADOR-SDZG-AM-1,20190617_013000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,17.06.2019 01:30,60.00046875,,Recorded at 01:30:00 17/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:15:08-08:00,WAV,WAV,audio/x-wav
1656,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190628_025000.WAV,GRABADOR-SDZG-AM-1,20190628_025000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,28.06.2019 02:50,60.00046875,,Recorded at 02:50:00 28/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:05:05-08:00,WAV,WAV,audio/x-wav
2669,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190705_034000.WAV,GRABADOR-SDZG-AM-1,20190705_034000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,05.07.2019 03:40,60.00046875,,Recorded at 03:40:00 05/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:36:59-08:00,WAV,WAV,audio/x-wav
1380,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190626_045000.WAV,GRABADOR-SDZG-AM-1,20190626_045000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,26.06.2019 04:50,60.00046875,,Recorded at 04:50:00 26/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:56:26-08:00,WAV,WAV,audio/x-wav
1959,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190630_052000.WAV,GRABADOR-SDZG-AM-1,20190630_052000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,30.06.2019 05:20,60.00046875,,Recorded at 05:20:00 30/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.9V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:14:37-08:00,WAV,WAV,audio/x-wav
1245,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190625_062000.WAV,GRABADOR-SDZG-AM-1,20190625_062000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,25.06.2019 06:20,60.00046875,,Recorded at 06:20:00 25/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:52:11-08:00,WAV,WAV,audio/x-wav
241,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190618_070000.WAV,GRABADOR-SDZG-AM-1,20190618_070000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,18.06.2019 07:00,60.00046875,,Recorded at 07:00:00 18/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:20:38-08:00,WAV,WAV,audio/x-wav
1544,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190627_081000.WAV,GRABADOR-SDZG-AM-1,20190627_081000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,27.06.2019 08:10,60.00046875,,Recorded at 08:10:00 27/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:01:36-08:00,WAV,WAV,audio/x-wav
546,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190620_095000.WAV,GRABADOR-SDZG-AM-1,20190620_095000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,20.06.2019 09:50,60.00046875,,Recorded at 09:50:00 20/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:30:15-08:00,WAV,WAV,audio/x-wav
